allen_structure_id,acronym,name,total_density_cells_per_mm3,neuron_density,astrocyte_density,oligodendrocyte_density,microglia_density,glia_density,region_volume_mm3,murakami_total_density,murakami_total_count_mean,murakami_total_count_sd,murakami_is_leaf_region,rodarie_neuron_density,rodarie_region_volume_mm3,ero_region_volume_mm3,ero_total_count,rodarie_gad67_density,rodarie_pv_density,rodarie_sst_density,rodarie_vip_density
239,ATN,Anterior group of the dorsal thalamus,156084.5925,80239.40941,12261.24068,42188.239615,21395.702795,75845.18309,2.127109,,,,,70008.471432,2.127109,2.127109,332009,2978.073486,529.796692,778.698792,2.71983
240,COApm1,"Cortical amygdalar area, posterior part, medial zone, layer 1",113600.118968,83829.578407,18587.552978,6547.996134,4634.991449,29770.540561,0.210141,111623.664709,23456.666667,2748.453444,True,79221.331128,0.210141,0.210141,23872,9553.834961,41.40324,2494.888428,407.234894
241,PTLp2/3,"Posterior parietal association areas, layer 2/3",190213.164188,105211.465807,12309.313369,26285.674673,46406.710339,85001.698381,0.901594,116368.375446,104917.0,618.265315,True,105967.384364,0.901594,0.901594,171495,13812.666016,3632.649902,3898.173096,5761.492188
242,LS,Lateral septal nucleus,122825.828918,67605.11486,8458.76472,26537.958924,20223.990414,55220.714058,3.338312,,,,,43437.742588,3.338312,3.338313,410031,36083.191406,211.75264,18660.501953,58.310963
243,AUDd6b,"Dorsal auditory area, layer 6b",182922.602148,82613.010739,4218.738427,84129.860511,11960.99247,100309.591408,0.126578,155424.433198,19673.333333,693.652891,True,79570.486595,0.126578,0.126578,23154,10147.123047,2931.702148,4914.259277,670.878357
244,MOBopl,"Main olfactory bulb, outer plexiform layer",140575.457493,110097.572557,4943.243463,5661.841034,19872.80044,30477.884936,5.199016,120592.443882,626962.0,147435.910629,True,100530.922647,5.199016,5.199016,730854,8368.804688,0.0,6455.288086,1913.51355
246,RR,"Midbrain reticular nucleus, retrorubral area",102106.835958,43227.105328,6994.63365,51763.880608,121.216373,58879.73063,0.445484,91191.376428,40624.333333,1390.406535,True,14778.543717,0.445484,0.445484,45487,14778.543945,386.478271,4773.672363,6.564032
247,AUD,Auditory areas,186286.866431,108440.846206,3917.736832,41397.109002,32531.174391,77846.020225,8.0595,,,,,113231.698203,8.0595,8.0595,1501379,18057.263672,4298.28418,4780.108887,2152.591797
248,COApm2,"Cortical amygdalar area, posterior part, medial zone, layer 2",192223.415682,144842.105263,28158.968851,11222.341568,8000.0,47381.310419,0.23275,136753.311851,31829.333333,2772.333734,True,166526.801765,0.23275,0.23275,44740,15077.300781,198.485565,5865.649902,2220.744629
249,AUDpo6a,"Posterior auditory area, layer 6a",204791.327913,118850.948509,2254.742547,48433.604336,35252.03252,85940.379404,0.023062,378796.747967,8736.0,332.239372,True,126370.181403,0.023062,0.023063,4723,14639.024414,2726.758301,7208.861328,1081.253906
